Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeWin,home_avg_for,home_avg_against,home_winrate,away_avg_for,away_avg_against,away_winrate
2025-08-15,Liverpool,Bournemouth,4,2,H,1,2.2434210526315788,1.019736842105263,0.631578947368421,1.3070175438596492,1.6140350877192982,0.34210526315789475
2025-08-16,Aston Villa,Newcastle,0,0,D,0,1.5592105263157894,1.394736842105263,0.4605263157894737,1.743421052631579,1.3421052631578947,0.4605263157894737
2025-08-16,Brighton,Fulham,1,1,D,0,1.5460526315789473,1.4342105263157894,0.3815789473684211,1.4385964912280702,1.4736842105263157,0.37719298245614036
2025-08-16,Sunderland,West Ham,3,0,H,1,,,,1.368421052631579,1.5921052631578947,0.34210526315789475
2025-08-16,Tottenham,Burnley,3,0,H,1,1.8223684210526316,1.506578947368421,0.46710526315789475,0.9868421052631579,1.7236842105263157,0.15789473684210525
2025-08-16,Wolves,Man City,0,4,A,0,1.138157894736842,1.5460526315789473,0.3355263157894737,2.375,0.9013157894736842,0.6973684210526315
2025-08-17,Chelsea,Crystal Palace,0,0,D,0,1.6776315789473684,1.2236842105263157,0.4605263157894737,1.3026315789473684,1.3421052631578947,0.3157894736842105
2025-08-17,Nott'm Forest,Brentford,3,1,H,1,1.2719298245614035,1.587719298245614,0.32456140350877194,1.5,1.4736842105263157,0.35526315789473684
2025-08-17,Man United,Arsenal,0,1,A,0,1.4210526315789473,1.394736842105263,0.4473684210526316,2.0328947368421053,1.013157894736842,0.631578947368421
2025-08-18,Leeds,Everton,1,0,H,1,1.1842105263157894,2.0657894736842106,0.21052631578947367,1.0460526315789473,1.4342105263157894,0.28289473684210525
2025-08-22,West Ham,Chelsea,1,5,A,0,1.3594771241830066,1.6013071895424837,0.33986928104575165,1.6666666666666667,1.2156862745098038,0.45751633986928103
2025-08-23,Man City,Tottenham,0,2,A,0,2.3856209150326797,0.8954248366013072,0.6993464052287581,1.8300653594771241,1.4967320261437909,0.47058823529411764
2025-08-23,Bournemouth,Wolves,1,0,H,1,1.3130434782608695,1.6347826086956523,0.3391304347826087,1.130718954248366,1.5620915032679739,0.3333333333333333
2025-08-23,Brentford,Aston Villa,1,0,H,1,1.4967320261437909,1.4836601307189543,0.35294117647058826,1.5490196078431373,1.3856209150326797,0.45751633986928103
